Town,Year,PropertyType,NumSales,MedianSale,AvgSalesRatio
***Unknown***,2007.0,Single Family,1,282450.0,0.235581519
Andover,2002.0,nan,13,235000.0,0.5601928018461538
Andover,2003.0,nan,73,208950.0,0.43565591480555554
Andover,2004.0,nan,73,181175.0,0.49078664562231966
Andover,2005.0,nan,79,220000.0,0.4937996186708861
Andover,2006.0,nan,47,235000.0,0.5862523618510639
Andover,2007.0,Single Family,11,297625.0,0.6845791129
Andover,2007.0,nan,2,42040.0,0.707719768
Andover,2008.0,Single Family,32,248687.5,0.7019126951772727
Andover,2008.0,nan,1,40000.0,0.06
Andover,2009.0,Single Family,30,237450.0,0.7715433919666667
Andover,2009.0,nan,6,74750.0,0.5002746785
Andover,2010.0,Single Family,39,220790.0,0.9185171405641026
Andover,2010.0,nan,4,20500.0,2.5196270135
Andover,2011.0,Single Family,24,200750.0,0.8290305702083334
Andover,2011.0,nan,7,20000.0,0.5379875107142857
Andover,2012.0,Single Family,11,240000.0,0.8141085891818182
Andover,2012.0,nan,2,47230.0,3.44897056
Andover,2013.0,Single Family,28,247500.0,0.8762752588571429
Andover,2013.0,Two Family,1,125000.0,1.0624
Andover,2013.0,nan,7,75000.0,0.713512915
Andover,2014.0,Single Family,27,195675.0,0.8557292065263158
Andover,2014.0,Two Family,2,412500.0,0.570066
Andover,2014.0,nan,8,64950.0,0.747854822875
Andover,2015.0,Single Family,41,194900.0,1.2536734511219512
Andover,2015.0,nan,10,65375.0,1.6796010669999997
Andover,2016.0,Single Family,37,226000.0,1.186924766972973
Andover,2016.0,nan,4,142000.0,0.6063652079999999
Andover,2017.0,Single Family,14,193500.0,1.5781565994285713
Andover,2018.0,Single Family,60,234600.0,0.8915916479
Andover,2018.0,nan,17,47222.0,0.969853241882353
Andover,2019.0,Single Family,64,248500.0,0.7624090939356776
Andover,2019.0,Two Family,1,227000.0,0.5788
Andover,2019.0,nan,6,67450.0,0.6812666666666667
Andover,2020.0,Residential,12,277450.0,0.59800757575
Andover,2020.0,Single Family,32,256000.0,0.6759269230769231
Andover,2020.0,Two Family,1,143500.0,0.9749
Andover,2020.0,Vacant Land,1,67269.0,0.040137359
Andover,2020.0,nan,7,263750.0,0.84449
Andover,2021.0,Residential,49,280000.0,0.5810380027755102
Andover,2021.0,Vacant Land,6,101500.0,0.5845214286666667
Andover,2022.0,Residential,6,302500.0,0.5182
Andover,2022.0,Vacant Land,1,486000.0,0.091
Andover,2023.0,Commercial,2,1367500.0,0.41890000000000005
Andover,2023.0,Residential,37,365000.0,0.5876135135135135
Andover,2023.0,Vacant Land,8,63057.5,0.68285
Andover,2024.0,Residential,29,310000.0,0.9227620689655173
Andover,2024.0,Vacant Land,7,150000.0,0.3883571428571429
Ansonia,2001.0,nan,82,141450.0,1.116974188292683
Ansonia,2002.0,nan,283,145000.0,0.8725570696537103
Ansonia,2003.0,nan,39,176500.0,0.9819258865674603
Ansonia,2004.0,nan,385,210252.5,0.6758978439167405
Ansonia,2005.0,nan,363,263475.0,0.5849133815
Ansonia,2006.0,Condo,1,195000.0,0.457435897
Ansonia,2006.0,Single Family,41,238000.0,0.5794284155121951
Ansonia,2006.0,Three Family,2,302500.0,0.4009156495
Ansonia,2006.0,Two Family,16,250325.5,0.9324144707500001
Ansonia,2006.0,nan,241,137720.0,2.5524281881854165
Ansonia,2007.0,Condo,9,139500.0,4.731324128555555
Ansonia,2007.0,Four Family,2,301250.0,0.3244260255
Ansonia,2007.0,Single Family,126,237750.0,0.5185712396507937
Ansonia,2007.0,Three Family,7,288000.0,0.48297556785714285
