Town,Year,Property Type,Residential Type,NumSales,MedianSale,AvgSalesRatio
***Unknown***,2007.0,Single Family,Single Family,1,282450.0,0.235581519
Andover,2007.0,Single Family,Single Family,11,297625.0,0.6845791129
Andover,2008.0,Single Family,Single Family,32,248687.5,0.7019126951772727
Andover,2009.0,Single Family,Single Family,30,237450.0,0.7715433919666667
Andover,2010.0,Single Family,Single Family,39,220790.0,0.9185171405641026
Andover,2011.0,Single Family,Single Family,24,200750.0,0.8290305702083334
Andover,2012.0,Single Family,Single Family,11,240000.0,0.8141085891818182
Andover,2013.0,Single Family,Single Family,28,247500.0,0.8762752588571429
Andover,2013.0,Two Family,Two Family,1,125000.0,1.0624
Andover,2014.0,Single Family,Single Family,27,195675.0,0.8557292065263158
Andover,2014.0,Two Family,Two Family,2,412500.0,0.570066
Andover,2015.0,Single Family,Single Family,41,194900.0,1.2536734511219512
Andover,2016.0,Single Family,Single Family,37,226000.0,1.186924766972973
Andover,2017.0,Single Family,Single Family,14,193500.0,1.5781565994285713
Andover,2018.0,Single Family,Single Family,60,234600.0,0.8915916479
Andover,2019.0,Single Family,Single Family,64,248500.0,0.7624090939356776
Andover,2019.0,Two Family,Two Family,1,227000.0,0.5788
Andover,2020.0,Residential,Single Family,12,277450.0,0.59800757575
Andover,2020.0,Single Family,Single Family,32,256000.0,0.6759269230769231
Andover,2020.0,Two Family,Two Family,1,143500.0,0.9749
Andover,2021.0,Residential,Single Family,49,280000.0,0.5810380027755102
Andover,2022.0,Residential,Single Family,6,302500.0,0.5182
Andover,2023.0,Residential,Single Family,37,365000.0,0.5876135135135135
Andover,2024.0,Residential,Single Family,29,310000.0,0.9227620689655173
Ansonia,2006.0,Condo,Condo,1,195000.0,0.457435897
Ansonia,2006.0,Single Family,Single Family,41,238000.0,0.5794284155121951
Ansonia,2006.0,Three Family,Three Family,2,302500.0,0.4009156495
Ansonia,2006.0,Two Family,Two Family,16,250325.5,0.9324144707500001
Ansonia,2007.0,Condo,Condo,9,139500.0,4.731324128555555
Ansonia,2007.0,Four Family,Four Family,2,301250.0,0.3244260255
Ansonia,2007.0,Single Family,Single Family,126,237750.0,0.5185712396507937
Ansonia,2007.0,Three Family,Three Family,7,288000.0,0.48297556785714285
Ansonia,2007.0,Two Family,Two Family,36,266500.0,0.3746640589722222
Ansonia,2008.0,Condo,Condo,1,190000.0,0.722631579
Ansonia,2008.0,Single Family,Single Family,30,230979.5,0.7957176704333333
Ansonia,2008.0,Three Family,Three Family,1,205000.0,1.0
Ansonia,2008.0,Two Family,Two Family,11,199000.0,1.7491192903636366
Ansonia,2009.0,Four Family,Four Family,5,235500.0,1.061499355
Ansonia,2009.0,Single Family,Single Family,95,197000.0,2.274199027810526
Ansonia,2009.0,Three Family,Three Family,1,185000.0,1.051891892
Ansonia,2009.0,Two Family,Two Family,33,188500.0,1.1102852983030302
Ansonia,2010.0,Condo,Condo,8,175950.0,0.866324335875
Ansonia,2010.0,Single Family,Single Family,87,199900.0,0.9431762653103448
Ansonia,2010.0,Three Family,Three Family,3,170000.0,1.233030501
Ansonia,2010.0,Two Family,Two Family,33,150000.0,1.677492035090909
Ansonia,2011.0,Condo,Condo,9,182500.0,0.8256439855555555
Ansonia,2011.0,Four Family,Four Family,1,99000.0,1.805050505
Ansonia,2011.0,Single Family,Single Family,88,180000.0,1.1424822315113636
Ansonia,2011.0,Three Family,Three Family,5,153000.0,1.6484960166
Ansonia,2011.0,Two Family,Two Family,35,125199.0,1.7316551685142858
Ansonia,2012.0,Condo,Condo,7,165000.0,0.9945848068571428
Ansonia,2012.0,Four Family,Four Family,1,64000.0,3.3640625
Ansonia,2012.0,Single Family,Single Family,75,168000.0,1.22852209308
Ansonia,2012.0,Three Family,Three Family,8,142600.0,1.293645096625
Ansonia,2012.0,Two Family,Two Family,26,95000.0,1.8537980380384615
Ansonia,2013.0,Condo,Condo,3,115450.0,1.2591035943333335
Ansonia,2013.0,Single Family,Single Family,40,183000.0,0.8173446004605263
Ansonia,2013.0,Three Family,Three Family,1,250000.0,0.5816
Ansonia,2013.0,Two Family,Two Family,11,140000.0,0.9656839681818181
Ansonia,2014.0,Condo,Condo,8,135750.0,1.007408973
Ansonia,2014.0,Four Family,Four Family,4,208750.0,0.6726462428333333
Ansonia,2014.0,Single Family,Single Family,138,162500.0,0.8910704667010869
Ansonia,2014.0,Three Family,Three Family,11,183750.0,0.7865784442666667
Ansonia,2014.0,Two Family,Two Family,43,81875.0,1.457620609907576
Ansonia,2015.0,Condo,Condo,6,55550.0,1.2913281315
Ansonia,2015.0,Four Family,Four Family,2,152500.0,1.133428308
Ansonia,2015.0,Single Family,Single Family,164,155000.0,1.2134188952195122
Ansonia,2015.0,Three Family,Three Family,10,159500.0,0.7989494553
Ansonia,2015.0,Two Family,Two Family,62,108500.0,0.9994825064032258
Ansonia,2016.0,Condo,Condo,10,150500.0,0.7561344369
Ansonia,2016.0,Four Family,Four Family,3,160000.0,0.6823618316666668
Ansonia,2016.0,Single Family,Single Family,193,166500.0,0.9866077129896373
Ansonia,2016.0,Three Family,Three Family,12,211700.0,0.5975498754166667
Ansonia,2016.0,Two Family,Two Family,50,144950.0,0.9230466991
Ansonia,2017.0,Condo,Condo,3,120000.0,0.7736333333333333
Ansonia,2017.0,Four Family,Four Family,5,195000.0,0.6711198972
